YEAR,START_DATE,END_DATE,JURISDICTION,LOCATION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES,ARRESTS,CHARGES
2023,1/03/2023,31/03/2023,ACT,Major Cities of Australia,26-39,mobile_phone_use,Police issued,14,,
2023,1/03/2023,31/03/2023,ACT,Major Cities of Australia,40-64,mobile_phone_use,Police issued,1,,
2023,1/03/2023,31/03/2023,NSW,Inner Regional Australia,17-25,mobile_phone_use,Police issued,37,,0
2023,1/03/2023,31/03/2023,NSW,Inner Regional Australia,26-39,mobile_phone_use,Police issued,67,,0
2023,1/03/2023,31/03/2023,NSW,Inner Regional Australia,40-64,mobile_phone_use,Police issued,51,,0
2023,1/03/2023,31/03/2023,NSW,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,5,,0
2023,1/03/2023,31/03/2023,NSW,Major Cities of Australia,17-25,mobile_phone_use,Police issued,283,,3
2023,1/03/2023,31/03/2023,NSW,Major Cities of Australia,26-39,mobile_phone_use,Police issued,405,,5
2023,1/03/2023,31/03/2023,NSW,Major Cities of Australia,40-64,mobile_phone_use,Police issued,303,,4
2023,1/03/2023,31/03/2023,NSW,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,23,,0
2023,1/03/2023,31/03/2023,NSW,Outer Regional Australia,17-25,mobile_phone_use,Police issued,6,,1
2023,1/03/2023,31/03/2023,NSW,Outer Regional Australia,26-39,mobile_phone_use,Police issued,13,,0
2023,1/03/2023,31/03/2023,NSW,Outer Regional Australia,40-64,mobile_phone_use,Police issued,11,,0
2023,1/03/2023,31/03/2023,NSW,Outer Regional Australia,65 and over,mobile_phone_use,Police issued,2,,0
2023,1/03/2023,31/03/2023,NSW,Remote Australia,26-39,mobile_phone_use,Police issued,2,,0
2023,1/03/2023,31/03/2023,NSW,Unknown,Unknown,mobile_phone_use,Fixed or mobile camera,20102,,
2023,1/03/2023,31/03/2023,NT,Unknown,17-25,mobile_phone_use,Police issued,4,0,0
2023,1/03/2023,31/03/2023,NT,Unknown,26-39,mobile_phone_use,Police issued,6,0,0
2023,1/03/2023,31/03/2023,NT,Unknown,40-64,mobile_phone_use,Police issued,5,0,0
2023,1/03/2023,31/03/2023,NT,Unknown,65 and over,mobile_phone_use,Police issued,0,0,2
2023,1/03/2023,31/03/2023,SA,Unknown,0-16,mobile_phone_use,Police issued,0,,
2023,1/03/2023,31/03/2023,SA,Unknown,17-25,mobile_phone_use,Police issued,153,,
2023,1/03/2023,31/03/2023,SA,Unknown,26-39,mobile_phone_use,Police issued,228,,
2023,1/03/2023,31/03/2023,SA,Unknown,40-64,mobile_phone_use,Police issued,198,,
2023,1/03/2023,31/03/2023,SA,Unknown,65 and over,mobile_phone_use,Police issued,34,,
2023,1/03/2023,31/03/2023,SA,Unknown,Unknown,mobile_phone_use,Police issued,0,,
2023,1/03/2023,31/03/2023,TAS,Unknown,17-25,mobile_phone_use,Police issued,44,,1
2023,1/03/2023,31/03/2023,TAS,Unknown,26-39,mobile_phone_use,Police issued,44,,2
2023,1/03/2023,31/03/2023,TAS,Unknown,40-64,mobile_phone_use,Police issued,34,,0
2023,1/03/2023,31/03/2023,TAS,Unknown,65 and over,mobile_phone_use,Police issued,6,,0
2023,1/03/2023,31/03/2023,VIC,Inner Regional Australia,17-25,mobile_phone_use,Police issued,55,,
2023,1/03/2023,31/03/2023,VIC,Inner Regional Australia,26-39,mobile_phone_use,Police issued,74,,
2023,1/03/2023,31/03/2023,VIC,Inner Regional Australia,40-64,mobile_phone_use,Police issued,53,,
2023,1/03/2023,31/03/2023,VIC,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,9,,
